sma_fast,sma_slow,rsi_lower,rsi_upper,momentum_threshold,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,num_trades,avg_trade_pnl,final_capital,timeframe
15,50,30,65,0.0001,-2.1970000000002985,0.022928564330155995,-20.433573558025582,0.45714285714285713,0.9891160364346444,70,-1.1385714285718787,9780.29999999997,4H
15,50,30,70,0.0,-9.770000000000291,-0.15659291752852464,-22.085452424002344,0.4,0.9042784110453425,85,-9.494117647059223,9022.99999999997,4H
15,50,30,70,5e-05,-6.964000000000378,-0.08952224185930903,-21.106120451606262,0.40963855421686746,0.9360223873395686,83,-6.3903614457836415,9303.599999999962,4H
15,50,30,70,0.0001,-6.964000000000378,-0.08952224185930903,-21.106120451606262,0.40963855421686746,0.9360223873395686,83,-6.3903614457836415,9303.599999999962,4H
15,50,30,75,0.0,-4.240000000000346,-0.015712874559820077,-19.79157974763365,0.4148936170212766,0.9719818119219718,94,-2.5106382978727586,9575.999999999965,4H
15,50,30,75,5e-05,-1.434000000000433,0.04855166171564037,-17.43665340861702,0.42391304347826086,1.0049017240546618,92,0.44130434782557304,9856.599999999957,4H
15,50,30,75,0.0001,-1.434000000000433,0.04855166171564037,-17.43665340861702,0.42391304347826086,1.0049017240546618,92,0.44130434782557304,9856.599999999957,4H
15,50,35,65,0.0,-5.008000000000102,-0.05320362684045073,-21.20424204190892,0.45,0.939567066590488,60,-6.346666666666951,9499.19999999999,4H
15,50,35,65,5e-05,-5.144000000000196,-0.05629605282709708,-21.04961505560312,0.4482758620689655,0.9366402137438535,58,-6.86896551724181,9485.59999999998,4H
15,50,35,65,0.0001,-5.144000000000196,-0.05629605282709708,-21.04961505560312,0.4482758620689655,0.9366402137438535,58,-6.86896551724181,9485.59999999998,4H
15,50,35,70,0.0,-29.96600000000033,-0.6410084080965422,-41.91795731154302,0.410958904109589,0.6649191273274372,73,-39.049315068493634,7003.399999999967,4H
15,50,35,70,5e-05,-30.102000000000416,-0.6420382385070668,-42.035432628769634,0.4084507042253521,0.6623223725261619,71,-40.39718309859216,6989.799999999958,4H
15,50,35,70,0.0001,-30.102000000000416,-0.6420382385070668,-42.035432628769634,0.4084507042253521,0.6623223725261619,71,-40.39718309859216,6989.799999999958,4H
15,50,35,75,0.0,-12.606000000000403,-0.2051377101327135,-34.08504752130671,0.43902439024390244,0.8611283480022746,82,-13.373170731707848,8739.39999999996,4H
15,50,35,75,5e-05,-12.742000000000498,-0.2073104525395618,-34.44379991968257,0.4375,0.8586614572762271,80,-13.927500000000645,8725.79999999995,4H
15,50,35,75,0.0001,-12.742000000000498,-0.2073104525395618,-34.44379991968257,0.4375,0.8586614572762271,80,-13.927500000000645,8725.79999999995,4H
15,60,25,65,0.0,-11.721000000000295,-0.22292293208088668,-31.94292335285631,0.44594594594594594,0.8641705130245606,74,-13.839189189189511,8827.89999999997,4H
15,60,25,65,5e-05,-11.721000000000295,-0.22292293208088668,-31.94292335285631,0.44594594594594594,0.8641705130245606,74,-13.839189189189511,8827.89999999997,4H
15,60,25,65,0.0001,-11.681000000000296,-0.2218704177621379,-31.911178832754096,0.4520547945205479,0.8643998089577555,73,-14.001369863014022,8831.89999999997,4H
15,60,25,70,0.0,6.172999999999757,0.2262219580574872,-15.557516868205315,0.4444444444444444,1.1007416954121003,90,8.858888888888721,10617.299999999976,4H
15,60,25,70,5e-05,6.172999999999757,0.2262219580574872,-15.557516868205315,0.4444444444444444,1.1007416954121003,90,8.858888888888721,10617.299999999976,4H
15,60,25,70,0.0001,6.212999999999756,0.22716735009596747,-15.524522823630363,0.449438202247191,1.1010199309935145,89,8.980898876404323,10621.299999999976,4H
15,60,25,75,0.0,-11.06900000000016,-0.17661885757293744,-20.78847710587785,0.44329896907216493,0.8973000337495773,97,-9.411340206185638,8893.099999999984,4H
15,60,25,75,5e-05,-11.06900000000016,-0.17661885757293744,-20.78847710587785,0.44329896907216493,0.8973000337495773,97,-9.411340206185638,8893.099999999984,4H
15,60,25,75,0.0001,-11.02900000000016,-0.17565131097633502,-20.751258455612202,0.4479166666666667,0.8975019691684475,96,-9.48854166666674,8897.099999999984,4H
15,60,30,65,0.0,-6.4830000000003025,-0.08641958418298482,-28.986389461197593,0.44776119402985076,0.9269698819987752,67,-7.676119402985474,9351.69999999997,4H
15,60,30,65,5e-05,-6.4830000000003025,-0.08641958418298482,-28.986389461197593,0.44776119402985076,0.9269698819987752,67,-7.676119402985474,9351.69999999997,4H
