date,open,high,low,close,volume
2023-12-19,1.092025,1.09874,1.091485,1.09806,-1.0
2023-12-20,1.098525,1.098525,1.09298,1.09415,-1.0
2023-12-21,1.094125,1.10127,1.09353,1.10111,-1.0
2023-12-22,1.10049,1.104025,1.099385,1.101265,-1.0
2023-12-26,1.10189,1.10451,1.100875,1.104235,-1.0
2023-12-27,1.1042,1.112275,1.102855,1.110515,-1.0
2023-12-28,1.1102,1.11395,1.105525,1.10613,-1.0
2023-12-29,1.106725,1.108445,1.10382,1.104095,-1.0
2024-01-02,1.10366,1.104335,1.09383,1.094105,-1.0
2024-01-03,1.0943,1.09655,1.08931,1.09216,-1.0
2024-01-04,1.09182,1.09722,1.091605,1.094475,-1.0
2024-01-05,1.094975,1.099855,1.087695,1.09404,-1.0
2024-01-08,1.094425,1.097885,1.09227,1.095035,-1.0
2024-01-09,1.0956,1.096635,1.091025,1.0931,-1.0
2024-01-10,1.092925,1.097325,1.092285,1.09727,-1.0
2024-01-11,1.0971,1.100055,1.093025,1.097225,-1.0
2024-01-12,1.097305,1.098695,1.093595,1.09509,-1.0
2024-01-15,1.09485,1.096765,1.093355,1.09505,-1.0
2024-01-16,1.094925,1.095115,1.086205,1.087535,-1.0
2024-01-17,1.087375,1.088465,1.084455,1.088285,-1.0
2024-01-18,1.088175,1.09069,1.08467,1.087645,-1.0
2024-01-19,1.087325,1.08988,1.08657,1.089755,-1.0
2024-01-22,1.089115,1.090955,1.088,1.088275,-1.0
2024-01-23,1.0884,1.09163,1.08217,1.085435,-1.0
2024-01-24,1.08508,1.09324,1.085035,1.088485,-1.0
2024-01-25,1.088575,1.090205,1.08216,1.08462,-1.0
2024-01-26,1.08473,1.088595,1.08129,1.085355,-1.0
2024-01-29,1.084705,1.08502,1.079595,1.083215,-1.0
2024-01-30,1.0834,1.085745,1.0812,1.08455,-1.0
2024-01-31,1.0842,1.088755,1.07949,1.08183,-1.0
2024-02-01,1.0819,1.08748,1.07799,1.08716,-1.0
2024-02-02,1.087245,1.089765,1.07805,1.078805,-1.0
2024-02-05,1.078375,1.078735,1.072325,1.07427,-1.0
2024-02-06,1.07405,1.076245,1.072265,1.07541,-1.0
2024-02-07,1.075625,1.078405,1.075165,1.07719,-1.0
2024-02-08,1.077205,1.078895,1.07416,1.07775,-1.0
2024-02-09,1.077875,1.07957,1.076225,1.078415,-1.0
2024-02-12,1.078505,1.08055,1.075595,1.07718,-1.0
2024-02-13,1.0773,1.07989,1.07006,1.07086,-1.0
2024-02-14,1.07105,1.07345,1.0695,1.072725,-1.0
2024-02-15,1.072625,1.078485,1.072475,1.077225,-1.0
2024-02-16,1.077235,1.07875,1.07321,1.077555,-1.0
2024-02-19,1.07765,1.078945,1.076205,1.07795,-1.0
2024-02-20,1.0778,1.08388,1.07617,1.08078,-1.0
2024-02-21,1.080725,1.08245,1.079005,1.08188,-1.0
2024-02-22,1.08194,1.08886,1.08028,1.082285,-1.0
2024-02-23,1.082425,1.083965,1.08119,1.08205,-1.0
2024-02-26,1.082025,1.08598,1.08127,1.085125,-1.0
2024-02-27,1.08495,1.086595,1.0833,1.084395,-1.0
2024-02-28,1.084725,1.08481,1.079665,1.083825,-1.0
2024-02-29,1.083625,1.085595,1.079595,1.080545,-1.0
2024-03-01,1.080575,1.084325,1.07981,1.083555,-1.0
2024-03-04,1.08395,1.086685,1.08378,1.08558,-1.0
2024-03-05,1.08555,1.087615,1.084025,1.08567,-1.0
2024-03-06,1.085655,1.091535,1.08422,1.089875,-1.0
2024-03-07,1.08995,1.09493,1.08679,1.094785,-1.0
2024-03-08,1.094675,1.098125,1.091855,1.09395,-1.0
2024-03-11,1.093975,1.094815,1.09146,1.092565,-1.0
2024-03-12,1.0925,1.09439,1.090225,1.092665,-1.0
2024-03-13,1.0927,1.096385,1.092015,1.09477,-1.0
